stn_id,borrowed_hour,borrowed_day,is_holiday,borrowed_num_nearby,강수량(mm),wind_chill,nearby_id,borrowed_date,XGB_Prediction,LGBM_Prediction,Ensemble_Prediction,predicted_borrowed_num
1289,17,7,1,3.0,0,3.8878,994,20231203,3.899985,1.9604832260691576,2.930234150533053,2.930234150533053
1290,17,7,1,2.0,0,3.8878,1105,20231203,3.7784548,2.4272852556365203,3.102870018107567,3.102870018107567
1291,17,7,1,5.0,0,5.161062052147818,32,20231203,2.6518424,2.553849950028411,2.6028461528782803,2.6028461528782803
1292,17,7,1,3.0,0,5.920041358043738,425,20231203,3.6575837,3.3717977140035016,3.514690713767498,3.514690713767498
1293,17,7,1,3.0,0,5.663108803109136,1106,20231203,4.6104827,2.9665892161963927,3.7885359544574495,3.7885359544574495
1294,17,7,1,3.0,0,5.161062052147818,572,20231203,3.321575,4.107566976788917,3.7145709515826297,3.7145709515826297
1295,17,7,1,5.0,0,5.161062052147818,1107,20231203,3.8215685,2.856519688729303,3.339044088902005,3.339044088902005
1296,17,7,1,1.0,0,3.3795190499292938,181,20231203,2.7529316,2.203690745991693,2.478311170420163,2.478311170420163
1297,17,7,1,4.0,0,3.5886797468148712,1108,20231203,4.548098,2.745741490594767,3.646919788952779,3.646919788952779
1298,17,7,1,2.0,0,4.221342763215654,723,20231203,4.202204,2.223576359150246,3.212890293298878,3.212890293298878
1299,17,7,1,3.0,0,5.920041358043738,1109,20231203,3.6028607,3.0571211798490228,3.3299909345061156,3.3299909345061156
1300,17,7,1,3.0,0,5.326435435722722,1110,20231203,4.6186576,2.9502490475974805,3.7844533182781106,3.7844533182781106
1301,17,7,1,2.0,0,5.176455566970587,1111,20231203,3.693507,3.127922757570571,3.4107148568355177,3.4107148568355177
1302,17,7,1,3.0,0,5.663108803109136,833,20231203,4.321196,4.106227105388,4.213711592321076,4.213711592321076
1303,17,7,1,2.0,0,5.176455566970587,1111,20231203,3.6637113,3.127922757570571,3.3958170335017774,3.3958170335017774
1304,17,7,1,2.0,0,5.176455566970587,1112,20231203,3.6637113,3.127922757570571,3.3958170335017774,3.3958170335017774
